Date, Headline
2018-02-04,Stocks open broadly lower to extend global equity selloff
2018-02-04,Yellen not troubled by near-decade duration of post-financial-crisis economic recovery
2018-02-04,Apple's stock set to trade below 200-day moving average first time since July 2016
2018-02-04,5 high-risk; high-reward stocks to buy on the stock market’s dive
2018-02-04,Bristol-Myers surges 5.6% on advanced lung cancer trial results; Q4 earnings
2018-02-04,Here’s what we actually know about the Amazon; Berkshire and J.P. Morgan health initiative (hint: very little)
2018-02-03,Wall Street selloff spreads to Asia; Nikkei has worst day in more than a year
2018-02-03,Here’s where buyers will step in as stocks keep falling; say chart watchers
2018-02-03,Weekend roundup: Bragging about your 401(k) million | What not to do with that million | Stock trends to pay off in any market
2018-02-03,Amazon heads toward $700 billion valuation thanks to Alexa; AWS and tax gains
2018-02-03,Apple has $163 billion to burn; and Tim Cook plans to spend it
2018-02-03,Jeff Bezos’ fortune tops $120 billion as Amazon shares surge after hours
2018-02-03,Apple earnings show iPhone ‘supercycle’ isn’t happening; and that’s OK
2018-02-03,Good news for Super Bowl viewing — no more ads for toenail-fungus drugs
2018-02-03,The Dow’s tumultuous history; in one chart
2018-02-03,GoPro still has believers: ‘Closer than ever to achieving its ultimate vision’
2018-02-02,Exxon stock falls the most in 6 years after surprise earnings miss
2018-02-02,Dow industrial marks biggest weekly point setback in 9 years; weekly drop of 1;100
2018-02-02,S&P 500; Dow suffer biggest weekly decline in more than 2 years
2018-02-02,Fed’s Williams tries to ease market fears the central bank will turn aggressive on rate hikes
2018-02-02,Dow marks worst single-session point plunge--down 666 points--since 2008
2018-02-02,10-year Treasury yield notches biggest weekly climb since Trump’s election
2018-02-02,Dow drops over 600 points; stocks post biggest weekly percentage drop in 2 years
2018-02-02,Apple's stock suffers first official correction in 15 months
2018-02-02,Dow; S&P 500 still well above short-term trend tracker
2018-02-02,Wall Street's 'fear gauge' hits highest level in more than a year at 17.60
2018-02-01,How long until you’re a 401(k) millionaire? Check this chart
2018-02-01,Apple shares drop on disappointing outlook
2018-02-01,Dow notches slight gain; but S&P 500; Nasdaq end lower ahead of jobs report
2018-02-01,Amazon to 'double down' on Alexa as sales far exceeded expectations
2018-02-01,Amgen shares drop 4% after Q4 profit; revenue misses
2018-02-01,Dow logs a gain; but set for worst weekly decline in more than a year ahead of jobs report
2018-02-01,Dow ends 0.1% higher
2018-02-01,S&P 500 finishes down 0.1%
2018-02-01,Nasdaq Composite closes 0.4% down
2018-02-01,Stocks finish mostly lower; in choppy trade; ahead of key jobs report
2018-01-31,How the stock market has reacted to State of the Union speeches
2018-01-31,Fed takes step toward rate hike as baton set to pass to Powell
2018-01-31,Dow logs tepid gain; but stock market sputters as Fed signals coming rate hikes
2018-01-31,Dow ends up more than 70 points; S&P 500 ends about 0.1% higher
2018-01-31,Nasdaq closes with a 0.1% return
2018-01-31,Dow ends up more than 70 points; S&P 500 ends about 0.1% higher
2018-01-31,Stock market ends modestly higher after Fed policy update in choppy session
2018-01-31,Nasdaq Composite up 0.2% at 7;420.11
2018-01-31,Dow industrials up 88 points; or 0.3%; at 26;165
2018-01-31,S&P 500 up 0.2% at 2;827.71
2018-01-30,Trump delivers his first State of the Union address: Live blog and video
2018-01-30,Speed of stock market rise left pullback overdue
2018-01-30,Dow suffers biggest drop in eight months
2018-01-30,Dow ends 360 points lower; marks worst 2-session drop in more than a year
2018-01-30,Yield curve steepens ahead of Trump’s State of the Union speech
2018-01-30,Wall Street's 'fear gauge' breaks above 14 for first time since August as stocks end lower
2018-01-30,Nasdaq drops 64 points; or 0.9%; to 7402.48; its biggest decline since Dec. 4
2018-01-30,S&P 500 falls 31 points; or 1.1%; to 2;822 for worst session since Aug. 17
2018-01-30,Dow sinks 361 points; or 1.4%; to 26;077; worst one-day percentage drop since May 17
2018-01-30,Consumers very confident in economy; but uncertain how tax plan will affect them
2018-01-30,Apple subject of DoJ; SEC inquires regarding battery disclosures: report
2018-01-30,Gene therapy stocks slammed after scientist reveals safety concerns
2018-01-30,Nasdaq Composite off 1.1% at 7;383
2018-01-30,S&P 500 down 1.2% at 2;820
2018-01-30,Dow industrials extend fall to 400 points
2018-01-30,Nasdaq Composite off 0.9% at 7;396
2018-01-30,S&P 500 down 1.1% at 2;822.67
2018-01-30,Dow industrials extend decline; down 362 points
2018-01-30,FTSE 100 erases 2018 gain as U.S. bond selloff spooks investors
2018-01-30,European stocks suffer biggest loss since November as bond selloff prompts caution
2018-01-29,Stocks have worst day of the year as 10-year bond yield trades at highest since 2014
2018-01-29,Dow falls about 180 points; marks worst daily drop in nearly 5 months as Wall Street focuses on rising yields
2018-01-29,Charting a bull-trend pullback; S&P 500 slips from record high
2018-01-29,Stocks have worst day of the year as 10-year bond yield trades at highest since 2014
2018-01-29,Dow falls about 180 points; marks worst daily drop in nearly 5 months as Wall Street focuses on rising yields
2018-01-29,U.S. stocks finish firmly lower as Wall Street focuses on rising rates
2018-01-29,Dow ends down about 180 points; S&P 500 closes off 0.7%
2018-01-29,Nasdaq finishes session about 0.5% lower
2018-01-29,Consumer spending hits 6-year high — as Americans cut savings to 12-year low
2018-01-29,Tesla is planning to tap the auto asset-backed securities market for the first time
2018-01-28,Stock market steams ahead as big tech earnings and Fed come into view
2018-01-28,Rare disease drug is driving Biogen earnings; but for how long?
2018-01-28,Cascend analyst raises Apple price target to $220; disputes weak iPhone X demand
2018-01-28,Not even Solid Biosciences’ latest disclosure could sour its market debut
2018-01-28,MoviePass removes AMC theaters from its service in battle for revenue share
2018-01-28,Apple stock drops after report of iPhone X production cut
2018-01-28,Marathon Petroleum Corp. announces 15% dividend increase to 46 cents
2018-01-28,Weekend roundup: Trump’s weak dollar | Is it ‘stupid’ to hold cash? | A threat to Netflix’s amazing run
2018-01-28,These 27 S&P 500 stocks are blowing away the market with gains of 15% or more this month
2018-01-28,Ford stock reaches new lows as company earnings raise more questions than answers
2018-01-27,Tesla stock bounces back to gains after late dip
2018-01-27,Intel promises chip fix; sees no financial impact from Spectre and Meltdown
2018-01-27,Dow ends more than 220 points higher as tech; health-care stocks rally
2018-01-27,Major stock indexes close at record highs as economy remains in growth mode
2018-01-27,All three equity benchmarks finished with a fourth straight weekly gain
2018-01-27,Dow gains about 220 points; S&P 500 climbs 1.2%
2018-01-27,Nasdaq books a 1.3% climb to close above 7;500
2018-01-27,Dow; S&P 500; Nasdaq storm to session highs to finish at fresh records
2018-01-27,Treasury yields climb after U.S. economy posts fourth-quarter GDP reading
2018-01-27,Nasdaq joins S&P 500; Dow at an intraday record at 7;488.04
2018-01-26,U.S. stocks trade near session highs with less than an hour left of regular trade
2018-01-26,Dow up more than 150 points at 26;548; S&P 500 rises 0.9% at 2;865
2018-01-26,Nasdaq climbs 1% to 7;485
2018-01-26,GDP growth of 2.6% falls short of Wall Street’s target
2018-01-26,‘FOMO’ stock market sees a week of record inflows
2018-01-26,No FOMO? Don't make this other classic stock-market investment mistake
2018-01-26,S&P 500’s bull trend absorbs U.S. dollar-induced volatility uptick
2018-01-26,Autos; airplanes boost orders for U.S. durable goods in December
2018-01-26,Dow industrials rise more than 100 points as stock rally accelerates
2018-01-26,S&P 500 up 0.5%; Nasdaq Composite climbs 0.7%
2018-01-25,S&P 500; Dow close at records on robust earnings in volatile session
2018-01-25,Dow; S&P 500 end at a records but Nasdaq finishes flat in choppy trade
2018-01-25,Dow Jones Industrial Average advances 141 points
2018-01-25,S&P 500 up by 2 points
2018-01-25,Nasdaq Composite down by 0.1%
2018-01-25,U.S. stocks end mostly higher; Dow finishes at records
2018-01-25,Soros says Facebook; Google have become 'obstacles to innovation'
2018-01-25,Soros says Trump administration is 'a danger to the world'
2018-01-25,Bank of America; Citi; others consider blocking bitcoin purchases with their credit cards
2018-01-25,Dow up 84 points; or 0.3%; to 26;336
2018-01-24,Fattening 401(k) matches; not one-time bonuses; is how to make America great again
2018-01-24,Individual stocks are getting a much bigger-than-usual jolt out of earnings
2018-01-24,Dow ekes out gains as weak tech shares drag on broader stocks
2018-01-24,Dow finishes at record but Nasdaq; S&P 500 slump in rocky trading session
2018-01-24,U.S. stocks mostly close lower; technology weakness weighs on Nasdaq
2018-01-24,Dow Jones Industrial Average ends at a closing records
2018-01-24,Dow closes up 0.2%; S&P closes down by less than 0.1%; Nasdaq closes down 0.6%
2018-01-24,Biogen earnings: The art of the (expected) deal
2018-01-24,Ford earnings: Disappointing outlook; stock weakness among stumbling blocks
2018-01-24,Cerus shares rise on positive late-stage results for anemia therapy
2018-01-23,S&P 500 breaks 54-year-old record for all-time highs notched in January
2018-01-23,S&P 500; Nasdaq close at records; Netflix’s shares rally
2018-01-23,S&P 500; Nasdaq end at records as Netflix shares jump 10%
2018-01-23,GE earnings: Can it possibly get any worse?
2018-01-23,S&P 500 gains 0.2%; Nasdaq Composite closes 0.7% higher
2018-01-23,Dow ends little changed
2018-01-23,U.S. stocks end mostly higher as consumer-discretionary shares rally
2018-01-23,Nasdaq; S&P 500 end at fresh all-time highs
2018-01-23,United Tech earnings: Expect questions about that $23 billion Rockwell Collins deal
2018-01-23,GE's stock surges toward biggest one-day gain in over two years
2018-01-22,Here’s how stock performance in Trump’s first year compared to other presidents
2018-01-22,Stock market ends at record as Senate moves to end government shutdown
2018-01-22,Stocks end at all-time highs as Senate moves to end government shutdown
2018-01-22,Dow rises more than 140 points; S&P 500 advances 0.8% to close the day
2018-01-22,Nasdaq ends session with 1% gain
2018-01-22,U.S. stocks end at records as shutdown crisis gets resolved--for now
2018-01-22,P&G earnings: Tide Pod challenge and U.S. business expected to feature
2018-01-22,Johnson & Johnson earnings: Expect a strong quarter for drug sales
2018-01-22,Dow sets all-time intraday record as Senate votes to end government shutdown
2018-01-22,Netflix earnings: Did price increases send customers packing?
2018-01-21,Halliburton shares rise after Q4 profit; revenue beats
2018-01-21,A government shutdown ‘could reintroduce investors to the fact that markets go down’
2018-01-21,This is what happens in the stock market when the government shuts down
2018-01-21,As stock market rockets to records; TD Ameritrade to roll out round-the-clock trade
2018-01-21,Now even Goldman Sachs wants in on cryptocurrencies and blockchain
2018-01-21,Goldman expects Wal-Mart’s fortunes to improve alongside the consumer’s
2018-01-21,Apple didn’t say it was hiring 20;000 new workers; nor bringing back all of its overseas cash
2018-01-21,Merck leaps past rivals with latest lung cancer drug results
2018-01-21,Apple; Oracle and Microsoft are expected to issue less debt in 2018
2018-01-21,Millennials are getting older — and that’s good for stocks
2018-01-20,White House says President Trump in regular contact Saturday with Hill Republicans over funding
2018-01-20,After dodging bankruptcy; Bebe Stores is ready for its encore
2018-01-20,IBM broke a long losing streak thanks to some of its oldest technology
2018-01-20,Ford shares sink to lowest level in nearly four months
2018-01-20,Amazon raises Prime monthly membership fee by nearly 20%
2018-01-20,ADT’s $1.6 billion IPO: 5 things you need to know
2018-01-20,Apple moves closer to smart speaker launch; FCC filing suggests
2018-01-20,S&P 500; Nasdaq add to string of 2018 records as investors shake off shutdown fears
2018-01-20,Apple brings in data-science team in analytics push
2018-01-20,Stocks end higher despite looming shutdown; S&P 500 and Nasdaq set record high
2018-01-19,Dow finishes up 0.2%; S&P 500 climbs 0.4%
2018-01-19,Nasdaq books a 0.6% gain
2018-01-19,Dow finishes higher to end week above 26;000
2018-01-19,Russell 2000 marks fresh record
2018-01-19,All three main equity benchmarks end the week firmly higher
2018-01-19,S&P 500; Nasdaq shake off government-shutdown worries to end at records
2018-01-19,Dow finishes higher to end week above 26;000
2018-01-19,Russell 2000 marks fresh record
2018-01-19,S&P 500 touches intraday record at 2;807.72; joining Nasdaq
2018-01-19,Nasdaq touches intraday record at 7;332.06 in late-afternoon trade
2018-01-18,IBM shares fall despite first revenue growth in 5 years
2018-01-18,Stocks finish lower as threat of government shutdown looms
2018-01-18,Stocks end lower as investors fret over potential shutdown
2018-01-18,The unsinkable U.S. stock market just tied a historic record for not falling
2018-01-18,Nasdaq Composite finishes little changed in negative territory
2018-01-18,Dow ends 0.4% down
2018-01-18,S&P 500 dips 0.2%
2018-01-18,U.S. stock indexes finish lower as 10-year bond rises above 2.6%
2018-01-18,S&P 500; Nasdaq mark only third down day so far in 2018
2018-01-18,Dow ends lower as Boeing shares weigh; but benchmark retains grip on 26;000
2018-01-17,Apple to contribute $350 billion to U.S. economy; add 20;000 jobs
2018-01-17,Dow ends above 26;000 as main stock indexes stage late-session rally
2018-01-17,Dow logs best one-day gain in 7 weeks as Boeing's stock provides 110-point lift
2018-01-17,Dow closes up more than 320 points; S&P 500 finishes up 0.9%
2018-01-17,Nasdaq Composite gains 1%
2018-01-17,Dow ends above 26;000 for first time as stocks rally broadly
2018-01-17,Dow ends at a record above 26;000--marking its fastest 1;000-point rally to a milestone in history
2018-01-17,Dow logs best daily gain since Nov. 30
2018-01-17,All three benchmarks close at records
2018-01-17,Dow ends at a record above 26;000--marking its fastest 1;000-point rally to a milestone in history
2018-01-16,Dow tops 26;000; but fails to close above milestone
2018-01-16,Dow ends lower in sharp one-day reversal
2018-01-16,U.S. stock rally sputters as Dow fails to hold 26;000
2018-01-16,Dow ends around 7 points lower
2018-01-16,S&P 500 ends 0.4% lower; Nasdaq Composite down 0.5%
2018-01-16,Stocks pull back from all-time highs to end slightly lower
2018-01-16,Dow turns negative as Wall Street rally fizzles out
2018-01-16,S&P 500; Nasdaq turn negative
2018-01-16,Citi’s stock jumps as earnings clear ‘low bar’ and expectations brighten
2018-01-16,Here’s what all 30 companies that make up the Dow industrials think about blockchain
2018-01-15,Apple’s stock just broke out from a 2-month hibernation
2018-01-15,Nasdaq up 0.7% at 7;310.93
2018-01-15,S&P 500 up 0.4% at 2;798.71
2018-01-15,Dow trades above 26;000 for first time as stocks open higher
2018-01-15,Eiger shares plummet 40% after phase 2 trial failure
2018-01-15,GE stock's big selloff has little impact on Dow's price
2018-01-15,GE's credit rating affirmed at Fitch; but risk of downgrade increased after insurance charge
2018-01-15,UnitedHealth's stock surges after profit; revenue rise above expectations
2018-01-15,GE's stock sinks after unveiling $6.2 billion charge in Q4
2018-01-15,How Mark Mobius changed retirement investing for the better
2018-01-14,Which markets are closed on Martin Luther King Jr. Day?
2018-01-14,Dow futures rise; setting up blue-chip stocks to blast out record after holiday
2018-01-14,Wal-Mart to offer one-time bonus of up to $1;000—but only for 20-year veterans
2018-01-14,Kodak stock pulls back; directors disclose acquisitions prior to ‘blockchain’ rally
2018-01-14,Retailers including Sears are facing a brighter new year — but there will be casualties
2018-01-14,Sarepta is making a bold bet on genetic medicine
2018-01-14,Here’s what all 30 companies that make up the Dow industrials think about the tax cuts
2018-01-14,Sam’s closures quashed PR bonanza of Wal-Mart pay hikes and bonuses; but analysts have eye on longer term
2018-01-14,HP reclaims top spot in PCs; but staying there isn’t the top priority
2018-01-14,Here are the 3 things that could stop the stock market in 2018
2018-01-13,Coca-Cola rebrands Diet Coke for millennials; but what’s in the can may be the problem
2018-01-13,Here’s what could trigger a 30% stock-market melt-up; says investor Bill Miller
2018-01-13,Dimon thinks even his own economist at J.P. Morgan is dead wrong about GDP; predicts 4% U.S. growth
2018-01-13,Weekend roundup: Netflix and FAANG stocks | A market melt-up | Dividend stocks
2018-01-13,Investors pile into stock market as ‘bull capitulation begins’: BAML
2018-01-13,The Dow and S&P 500 just had the best start to a calendar year since 2003
2018-01-13,Stocks end at records; book weekly gains as earnings season kicks off
2018-01-13,Main stock indexes close at records as earnings get underway
2018-01-13,Russell 2000 up shy of 0.3%
2018-01-13,Nasdaq Composite Index posts 0.7% gain
2018-01-12,Dow Jones Industrial Average advances 229 points
2018-01-12,S&P 500 up 0.7%
2018-01-12,Russell posts largest weekly gain since September
2018-01-12,The Dow and S&P clinch second straight week of gains
2018-01-12,Stock indexes all end at records; Dow jumps more than 200 points
2018-01-12,Bon Ton Store bonds tumble as deadline for $14 million interest payment looms
2018-01-12,As promised; big bank earnings were messy; but CEOs keep faith in tax cuts
2018-01-12,U.S. benchmarks take flight; extend statistically unusual 2018 breakout
2018-01-12,Holiday retail sales a case of haves; have-nots: Internet sellers soar; dept. stores fade
2018-01-12,Holiday retail sales increased 5.5% in 2017; exceeding the National Retail Federation forecast
2018-01-11,The Dow’s blistering climb helps it log the fastest run-up to a midpoint milestone in history
2018-01-11,Trump Today: President reverses his own criticism of FISA
2018-01-11,IBM installs new CFO
2018-01-11,Major stock indexes close at records ahead of earnings
2018-01-11,Stocks end at records; driven by rally in energy shares
2018-01-11,Dow finishes up 0.8%
2018-01-11,S&P 500 ends 0.7% higher
2018-01-11,Nasdaq Composite finished 0.8% higher
2018-01-11,Dow finishes up 0.8%
2018-01-11,S&P 500 ends 0.7% higher
2018-01-10,S&P 500; Nasdaq log first down day of 2018 as all major stock indexes drop
2018-01-10,Dimon’s many bitcoin moments of regret; in one chart
2018-01-10,S&P 500; Nasdaq break six-day win streak
2018-01-10,S&P 500; Nasdaq halt 6-session win streak as bond-yield uptrend gains steam
2018-01-10,Dow finishes little changed; ends off session lows
2018-01-10,S&P 500; Nasdaq shed 0.1%
2018-01-10,Report that Trump will announce end of Nafta pact adds to stock-market jitters
2018-01-10,‘Black Panther’ outsells all Marvel films in first 24 hours of ticket presales
2018-01-10,S&P 500 slips a point to 2;749; Nasdaq off 14 points; or 0.2%; to 7;149
2018-01-10,Dow industrials edge into positive territory; up 12 points to 25;398
2018-01-09,Cardinal Health fires back at Amazon health-care threat: You can’t beat our prices
2018-01-09,Dow industrials log a record; set sights on 26;000 as banks; health-care rally
2018-01-09,All main indexes close at records as S&P 500 has best start to year since 1964
2018-01-09,Dow closes up more than 100 points; S&P 500 rises 0.1%
2018-01-09,Nasdaq Composite ends less than 0.1% higher
2018-01-09,All three stock benchmarks finish at records
2018-01-09,S&P 500 marks best start to a year since 1987
2018-01-09,S&P 500; Nasdaq notch six gains in a row to start 2018
2018-01-09,All three stock benchmarks finish at records
2018-01-09,S&P 500 marks best start to a year since 1987
2018-01-08,S&P 500; Nasdaq close at records; Dow snaps multiday streak
2018-01-08,CryptoWatch: Cryptocurrencies see $100 billion hit amid South Korean clampdown
2018-01-08,Artificial intelligence made new ‘Star Wars’ music; and this is what it sounds like
2018-01-08,Why the gain on Monday; a ‘big day for bulls;’ could suggest stock gains of nearly 20% in 2018
2018-01-08,Consumer borrowing grows at its fastest rate in 16 years
2018-01-08,S&P 500; Nasdaq end at records; Dow breaks 4-day win streak
2018-01-08,Nasdaq finishes up 0.3% to mark fresh record
2018-01-08,Dow slips by 15 point; multiday streak ends at four
2018-01-08,S&P 500; Nasdaq haven't seen a negative close in 2018
2018-01-08,S&P 500 rises 0.2%
2018-01-07,Dow off 14 points at 25;279; S&P 500 trades flat at 2;741
2018-01-07,U.S. stocks open flat; taking a breather from record rally
2018-01-07,Shares of Boeing Co.; Goldman pressure Dow at the open
2018-01-07,Dow trades at break even level as 3M shares slump
2018-01-07,S&P 500; Nasdaq open little changed; threaten to end lower for the first time in 2018
2018-01-07,Why only a tiny percentage of Americans benefit from Dow 25;000
2018-01-07,Whirlpool appliances to communicate with Apple Watch in early 2018
2018-01-07,These stocks have been a ‘trendy’ trade; but they now could finally break out
2018-01-07,Jeff Sessions has delivered a blow to the marijuana industry’s ability to raise capital
2018-01-07,Weekend roundup: Dow 25;000 | Ripple and bitcoin | Artificial intelligence
2018-01-06,Apple stock will move higher in ‘super-long cycle;’ says longtime bull Piper Jaffray
2018-01-06,Head of largest hedge fund says economic downturn could leave U.S. ‘at each other’s throats’
2018-01-06,As stock-market milestones fall; investors look ahead to the next record
2018-01-06,Dow logs 220-point gain to end stellar first week of 2018 for the stock market
2018-01-06,Dow is a quarter of the way to 26;000 with a more than 200-point rally to end week
2018-01-06,S&P 500; Nasdaq book biggest weekly gains in more than a year
2018-01-06,U.S. stocks end at records as tech; healthcare stocks rally
2018-01-06,S&P 500; Nasdaq close at record for fourth straight session in 2018
2018-01-06,Dow gains 1.4% over the week; largest weekly advance in a month
2018-01-06,U.S. stocks end at records as tech powers equities to fourth straight daily gain
2018-01-05,Trump floats Dow 30;000 — here’s how you can get to that milestone safely
2018-01-05,Don't look now: Dow already a quarter of the way to 26;000
2018-01-05,Dow rises nearly 180 points at 25;250 in late trade as stocks pick up steam to end week
2018-01-05,Dow rises 170 points at 25;248; S&P 500 index climbs 0.5% at 2;737
2018-01-05,Nasdaq adds 0.6% at 7;121
2018-01-05,Stock-market gains accelerate with less than a hour left in trade as Fed's Mester underscores job-market strength
2018-01-05,Stock market gains firm in late afternoon trade as Wall Street set to wrap 1st week of 2018
2018-01-05,Dow up 140 points at 25;215; S&P 500 rises 0.5% at 2;736
2018-01-05,Nasdaq climbs 0.6% at 7;121
2018-01-05,Tech ETF on track for best weekly rally in more than a year
