,Date,1,2,3,4,5,6,7,8,9,10
0,2018-03-09,Goldman’s Blankfein says reading report of his imminent retirement was like Huckleberry Finn listening to his own eulogy,Dow closes above 25;000 while Nasdaq finishes at a record as stocks rally,Treasury yields climb after strong jobs growth keeps Fed on track,Stocks end sharply higher after jobs report; Nasdaq closes at record,Dow ends 1.8% higher,S&P 500 finishes up 1.7%,Nasdaq Composite ends 1.8% higher,Nasdaq books first record close since Jan. 26,Dow; S&P 500 log best daily gain in about a month after jobs report,All three benchmarks record best weekly gains in 3 weeks stock pullback
1,2018-03-08,Stock market ends higher as Trump signs tariffs; but spares Canada; Mexico,The best sector of this bull market is the ‘greatest investment story ever told’,Stock market ends higher as Trump signs metals tariffs,Elon Musk to Trump on tariffs: an ‘Olympic race wearing lead shoes’,CORRECT: U.S. stocks close higher as tariff plan exempts Mexico; Canada,Nasdaq Composite ends higher for fifth straight session,Metals and mining ETF tumbles after Trump details tariffs policy,Nasdaq adds 23 points; or 0.3%; to 7;420,Dow industrials climb 27 points; or 0.1%; to 24;829,S&P 500 up 7 points; or 0.3%; to 2;734
2,2018-03-07,S&P 500; Dow close lower on Cohn resignation; Nasdaq extends win streak,Dow ends slightly lower; trims decline as White House hints at tariff exemptions,Here’s how the stock market reacted to Cohn’s resignation from the Trump White House,Dow finishes down by about 80 points but had been off by nearly 350 points at Wednesday's lows,Nasdaq closes up 0.3%; S&P 500 ends off less than 0.1%,Dow closes in the red; but stocks end off session lows as Wall Street weighs trade policies,Nasdaq; Russell 2000 mark 4th straight gain; shaking off worries about tariffs,Nasdaq up 26 points; or 0.4%; to 7;398,Dow industrials pares losses to trade down 0.3% to 24;825,S&P 500 recovers to push into positive territory 10 minutes before the close
3,2018-03-06,E-mini Dow futures fall 268 points; or 1.1%,E-mini S&P 500 futures down 1.1%,Stock index futures sharply lower after Cohn resignation,Gary Cohn is resigning from the White House; according to New York Times,Trump Today: President says he likes conflict as he defends his proposed tariffs,U.S. stocks close modestly higher as trade-war jitters linger,Stocks end slightly higher as trade uncertainty persists,Dow finishes little changed in positive territory,S&P 500 ends 0.3% higher,Nasdaq Composite finishes 0.6% up like Walmart’s in 2017
4,2018-03-05,Dow snaps 4-session slide; as stock market books sharp gains,Wall Street's 'fear index' falls; retreats by half over the past month,Nasdaq adds 1.1% to 7;337,Dow industrials gain 1.5% to 24;897; S&P 500 up 1.2% to 2;722,All major stock indexes higher ahead of closing bell,Trump steel tariffs to hit these 8 countries the hardest — and China isn’t one of them,Dow industrials see stiffest headwind from Boeing's stock in early trade,Tariffs raise the odds of U.S. terminating Nafta: Goldman Sachs,10 popular stocks that would be hit hard if Trump started a trade war,Nasdaq falls 0.5% at 7;223
5,2018-03-04,Treasury yields climb as haven-related buying unravels,Dow snaps four-session losing streak in broad-based market rally,Dow jumps almost 340 points as Wall Street shakes off tariff tantrum,Dow halts multisession skid to finish up about 340 points,Dow ends up 1.4%; S&P 500 closes up 1.1%,Nasdaq ends 1% higher,Stock market books sharp gains as Wall Street's tariff fears subside,Do you know your movie Oscars from your Sesame Street Oscar? Let’s find out,Nutanix powers on in software transition,Retail defaults may increase in 2018 as companies are still stressed; S&P cautions
6,2018-03-03,All 11 primary S&P 500 sectors trade higher as rebound gains steam,Italy ETF down for 5th straight day after election,GE's stock surges to pace Dow gainers,Dow's turnaround powered by bounce in McDonald's; Caterpillar's stock,Italy ETF tumbles after election; set for 5th straight down day,S&P 500 holds last-ditch support; Nasdaq rallies from key trendline,Dow joins S&P 500 and Nasdaq in positive territory,S&P 500; Nasdaq turn positive as stock market pares loss in early trade,Businesses still growing rapidly; but face labor shortages; higher prices; ISM shows,These 9 experts warn that another stock-market correction is coming
7,2018-03-02,Here’s why the Dow took the Trump tariffs so hard,Trade is the first real test of the Trump rally,Dow falls for 4th day on trade fears; major indexes post big weekly drops,McDonald's stock books worst 1-day dollar drop in its history and worst percentage fall since 2008,S&P 500; Nasdaq erase skid to end higher but McDonald's stock leads Dow to a loss,Stocks post weekly losses as inflation; trade fears weigh,Dow finishes down 0.3%,S&P 500 closes up 0.5%,Nasdaq Composite finishes 1.1% higher,S&P 500; Nasdaq rebound to close higher; Dow ends lower
8,2018-03-01,This Trump vs. JFK chart has nailed it so far; and if it continues; the market is in trouble,Dow ends 420 points lower as Trump calls for U.S. import tariffs on steel; aluminum,Treasury yields drop as Trump announces steel; aluminum tariffs,Dollar reverses as trade tariffs scare financial markets,Dow skids 420 points as Trump says U.S. will institute steel; aluminum tariffs indefinitely,S&P 500; Nasdaq Composite close 1.3% lower,Dow industrials fall 1.7%,U.S. stocks close 1% lower we tariff announcement raises protectionism concerns,U.S. stocks end sharply lower for third straight session,Dow drops more than 400 points
9,2018-02-28,How to sleep like a boss,Energy ETF tumbles; has worst monthly drop since December 2015,U.S. stocks finish lower; Dow; S&P 500 log worst monthly drop in two years,Treasury yields pull back after bond investors rush to finish month-end trades,Dow falls nearly 400 points as the stock market stumbles at close of a bruising February,U.S. stocks close sharply lower; Dow; S&P 500 have worst month in two years,U.S. stocks close out February with sharp decline,Dow finishes down nearly 400 points; S&P 500 closes off 1.1%,Nasdaq Composite ends off 0.8%,Nasdaq drops 7 points; or 0.1%; to 7;323 
10,2018-02-27,S&P 500 marks worst one-day drop in about 3 weeks as Powell fails to quell rate-hike angst,Stock market ends lower as Powell’s testimony stokes fresh inflation; rate-hike fears,S&P 500 ends down 1.3% in biggest one-day percentage drop since Feb. 8,Dow Jones Industrial Average closes down 1.2%,All 11 primary S&P 500 sectors end down on the day,Nasdaq Composite Index closes down 1.2%,U.S. stocks close lower after Powell fails to calm rate-hike concerns,Dow Jones Industrial Average closes down 1.2%,S&P 500 ends down 1.3% in biggest one-day percentage drop since Feb. 8,Dow industrials extends losses; falls 220 points
11,2018-02-26,U.S. stocks close higher on broad-market rally led by tech shares,U.S. stocks close 1% higher as tech rallies,Dow industrials gain nearly 398 points,S&P 500 rises 1.2%,U.S. stocks close sharply higher; led by tech rally,Fed’s Bullard says the stock-market correction was ‘benign’,Dow trades less than 900 points from record on back of Boeing; 3M stock rallies,European stocks end higher as Wall Street extends its rally,FTSE 100 breaks two-day losing run as Wall Street rally continues,Bull ‘trend’ strengthens; S&P 500 knifes atop 50-day average
12,2018-02-25,‘The past 7 days have been the worst of my financial life’,How low will the Dow go? Brace yourself for the worst-case scenario,Did Kylie Jenner’s tweet really cause Snapchat stock to plunge $1.3 billion? 5 of the costliest tweets ever,Gun stocks slammed as companies and funds distance themselves from industry,HP Enterprise earnings jolt stock; but there isn’t much to be excited about,Netflix’s junk bonds boosted after S&P predicts strong subscriber growth this year,Roku forecast hurts stock; but includes a major milestone,Walmart’s Jet website may not be reaching customers beyond city limits,Should I sell my $565;000 duplex and invest the money — or continue to collect rent?,Why a spike in the 10-year Treasury yield to 3% won’t be a death knell for stocks
13,2018-02-24,Dow surges 350 points as stocks book weekly gains,The Nasdaq now stands just about 2.2% from its January record after this month's tumble,The S&P 500 just breached a key line in the sand for technical traders,For the week; Dow books a weekly return of 0.4%; S&P 500 finishes 0.6% higher,Nasdaq logs weekly return of 1.4%,Stock rally turns indexes positive for week as inflation concerns wane,Dow ends up nearly 350 points at 25;311,S&P 500 finishes at 2;747; up 1.6%,Nasdaq Composite closes with a gain of 1.8% at 7;337,Dow ends up nearly 350 points at 25;311
14,2018-02-23,Dow logs a gain; but stock market ends off highs; Nasdaq marks longest skid in a year,The Nasdaq just logged its longest losing skid in more than a year,Stocks end slightly higher; Dow and S&P snap two-day skid,Dow Jones Industrial Average ends 0.7% higher,U.S. stocks close mostly higher; but biotech weighs on Nasdaq,Nasdaq Composite Index closes down 0.1%,S&P 500 closes up 0.1%,Health-care and consumer discretionary sectors join financials in the red,Nasdaq slides into negative territory; down 15 points; or 0.2%; to 7;202,Nasdaq rises 16 points; or 0.2%; to 7;234
15,2018-02-22,Stock-market rally vaporizes as 10-year yield climbs to 2.95%; dollar strengthens,Dow gives up 300-point gain to end lower as bond yields rise after Fed minutes,Nasdaq Composite closes off 0.2%; erasing modest; late-session gains,U.S. stocks finish lower; relinquishing afternoon gains after the Fed's minutes,Dow closes down about 170 points or 0.7%; S&P 500 ends 0.6% lower,Stocks end volatile session lower as rally collapses in wake of Fed minutes,Nasdaq retains hold on late-session rise; up 0.4% at 7;263; but off highs,Dow down 20 points; or 0.1%; at 24;951; S&P 500 also briefly turns negative,Dow erases nearly 300 point rally to turn negative in late-afternoon trade,Dow up 80 points; or up 0.4%; at 25;057; well off session highs
16,2018-02-21,Walmart's stock marks worst daily point drop in its history as a publicly traded entity,Dollar climbs as Treasury yields resume rise,Dow; S&P 500 snap 6-day win streak; Walmart shares weigh,Walmart's stock exacts more than 70-point toll from Dow industrials in late trade,U.S. stocks end lower; with Walmart weighing on Dow,Dow ends session down 1%; S&P 500 declines 0.5%,Nasdaq ends less 0.1% lower,Dow snaps 6-session win streak as Walmart shares log worst point decline in history,Dow flirts with largest one-day drop in 2 weeks at its nadir as VIX kicks above 20,Morgan Stanley strategist says several stock-market corrections by end of 2018 make ‘a lot of sense’
17,2018-02-20,European stocks end day with losses; driven lower by Daimler and Reckitt Benckiser,Dow futures slip with traders on Presidents Day break,Vanguard investors kept their cool during stock-market turmoil,Here’s what the 30 companies that make up the Dow industrials are doing to address sexual-harassment claims,The stock market’s new ‘wall of worry’ is built on inflation and rate fears,People are walking into glass at the new Apple headquarters,Cisco turns corner in tough transition to a new era,Amazon passes Microsoft to become the 3rd-largest U.S. company,These people are retiring early — but they’re not worried by the volatile markets,How much of your 401(k) retirement plan is affected by market volatility?
18,2018-02-18,Dow Jones Industrial Average declines 141 points,U.S. stocks open lower as six-day rally on track to sputter,Why investors shouldn’t fear a rising-rate environment,BlackRock says it’s time to give U.S. stocks more love — try these sectors,‘Black Panther’s’ strong weekend box office makes it biggest-ever February release,Higher inflation; Trump tax-and-spend boom leave investors looking for Fed clues,Analysts are swooning over ADT — with one exception,Goldman’s Lloyd Blankfein: ‘The odds of a bad outcome have gone up’,Former SEC boss says U.S. has become ‘a nation of day traders’,How a 6;000% profit on a single trade saved a small hedge fund from disaster
19,2018-02-17,Dow; S&P 500 book 6th straight gain as stocks post best week in years; Nasdaq lags,Dow; S&P 500 book slight gains; mark 6th straight advance,Nasdaq posts best week since December 2011,Dow posts largest weekly gain since Nov. 2016,Nasdaq Composite closes lower by 0.2%,Dow Jones Industrial Average advances 20 points,S&P 500 up by 1 point,U.S. stocks end flat to slightly lower; Dow and S&P 500 clinch six-day win streak,Apple's stock on track for biggest 6-day gain in nearly 4 years,Dow rebounds as Rosenstein says no allegation any American participated in unlawful activity with Russia
20,2018-02-16,This chart warns that the 30-year downtrend in interest rates may be over,Cisco shares close at post-dot-com high as more than half of analysts hike price targets,Dow logs 3rd gain in a row ahead of key inflation report,Stocks close higher for fifth straight session as Dow reclaims 25;000-level,Bitcoin’s key problems illustrated by the ECB; in one simple chart,Stocks end higher for fifth straight session,McDonald’s Happy Meals will nix cheeseburgers starting in June,Nasdaq Composite climbs more than 1.5%,10-year Treasury yield retreats from 4-year high,S&P 500 up by 1.2%
21,2018-02-15,Florida police: Shooter in custody; with reports of 17 fatalities at Broward high school,Dow ends up 250 points as stock market marks longest win streak in about 5 weeks,10-year Treasury yield tops 2.90% as inflation data stokes rate-hike concerns,U.S. stocks gain for fourth session led by powerful Nasdaq rally,Five economic reasons not to panic over the stock-market roller coaster,Dow Jones Industrial Average closes up 1%,U.S. stocks close sharply higher; extending rally to fourth straight session,Nasdaq Composite Index closes up 1.9% on the day,S&P 500 ends 1.4% higher on the day,Dow's rally comes with panic-like buying; as NYSE's Arms falls to lowest level in 15 months
22,2018-02-14,U.S. stocks close higher for a third straight session,Dow climbs about 40 points or 0.2%; S&P 500 ends up 0.3%,Nasdaq ends 0.5% higher,U.S. stock benchmarks notch a third gain in a row as focus shifts to key inflation report,Nasdaq advances 0.5%,Stock market rises to session highs as gains in financials; consumer-staples stocks firm,Dow gains about 100 points or about 0.4%; S&P 500 rises 0.4%,Gold extends recovery as the dollar retreats,Fed’s Mester: Economy will ‘work through this episode of market turbulence’,Powell says Fed ‘will remain alert’ to any financial stability risks
23,2018-02-13,Stocks have already matched the number of 1% moves seen over all of 2017,Treasury yields rise as 30-year bond hits highest level since March,Stocks gain for second session as Dow rallies more than 400 points,This stock-market shakeout looks a lot like 1996-97,If Donald Trump really is like JFK; it could get even uglier for the stock market,S&P 500 posts largest two-day advance since June 2016,Nasdaq Composite Index closes at 1.6% gain,S&P 500 up by 1.4%,U.S. stocks jump; major indexes end more than 1% higher,S&P 500 up by 1.4%
24,2018-02-12,History suggests the correction isn’t near over; as this chart demonstrates,What technical analysts say about the stock-market collapse after the Dow; S&P 500 fall into correction,Remember when the head of the world’s largest hedge fund said you’d ‘feel pretty stupid’ holding cash? How’d that work out?,Did the stock market crash? Do the math; and check the yield curve,Reports of the bull market’s death were greatly exaggerated,Volatity aftershocks? Here’s what stock-market investors need to know,How Viacom plans to turn Paramount Pictures around by 2019,Eye-popping Nvidia earnings send stock soaring; but automotive business still stalled,This guy lost $10;000 trying to time this volatile market — using his credit card,Some millennials wonder whether it’s finally time to take the plunge into stocks
25,2018-02-11,A ‘Powell put’ for the stock market? Don’t even think about it,Here’s how the stock market typically performs in the aftermath of a major rout,The stock market has turned turbulent: Here’s what advisers say you should do,Fox News commentator Sean Hannity on stock-market drop: Thanks; Obama,Jim Cramer blames a ‘group of complete morons’ for blowing up the market,Tax overhaul will lead to as many ratings downgrades as upgrades; says S&P,Ex-regulator says warnings for risky volatility bets should be in ‘big; bold 24-point font and in red letters’,Weekend roundup: What to do when stocks drop | Don’t misuse a daily trading tool | Should investors fear rising U.S. wages?,The biggest risks we face have nothing to do with plunging stock prices,Dow Jones Industrial Average rebounds; powered by Nike and Microsoft
26,2018-02-10,Who remembers the good old days of rising stocks and a robust economy?,Bitcoin trades higher as equities bounce around,Dollar on track for best week since December 2016 amid global turmoil,2-year Treasury yield sees biggest fall since June 2016,Weekly U.S. stock-market volume highest since August 2011,Markets out of whack? Investors say we’re only getting back to normal,U.S. stocks bounce back from correction territory but record sizable weekly losses,Dow; S&P 500 have biggest weekly percentage drop since January 2016,Nasdaq has biggest weekly percentage drop since February 2016,For the week; Dow down 5.2%; S&P down 5.2%; Nasdaq down 5.1%
27,2018-02-09,Volatility shock wave has wiped $5.2 trillion from global markets; sent five sectors into correction territory,Trump says stock selloff a ‘big mistake’ because economy ‘great;’ but that’s exactly why investors are nervous,Could stock market volatility cause house prices to fall?,The Dow has just shed 2;800 points in 9 sessions as stock-market enters correction phase,Oil futures erase their year-to-date gains in electronic trading,Dow falls into correction territory with a 1;030-point tumble; drops 10% from its peak,Boeing's stock contributes about 10% of the Dow's 1;030-point tumble,Media mentions of ‘buy the dip’ have never been higher. So... buy the dip?,Haven currencies rally as stock selloff picks up steam,10-year Treasury yields holds on to rise even as stocks tumble
28,2018-02-08,Dollar index extends gains as lawmakers agree to 2-year budget deal,Trump Today: President calls stock market drop a ‘mistake’ as he meets regulator,The Dow; S&P 500 just blew their biggest leads since August 2015,U.S. stocks finish lower in volatile trade as investors fret over rising yields,Consumer borrowing stays strong in December,Stocks cough up gains to end lower as bond yields resume rise,Dow ends about 20 points lower; down 0.1%; at 24;893,S&P 500 falls 0.5% at 2;681,Nasdaq Composite ends 0.9% lower at 7;051,Dow ends lower in whipsaw action for stock market as bond yields resume rise
29,2018-02-07,The stock market’s swoon demands a new narrative,CORRECTION: Dow closes up 2.3%; biggest one-day percentage gain since Jan. 29; 2016,U.S. stocks snap selling spree to close higher in volatile trading,U.S. stocks rebound after worst selloff in more than 6 years,Live blog recap: Dow rebounds more than 550 points in volatile session,Why buying the dip may still be alive and well,Dollar defends modest gains as equities finish back in the green,Treasury yields trim decline as stocks come roaring back,Why the Dow Jones Industrial Average has suddenly become a hot mess,S&P 500 ends 1.8% higher; biggest one-day percentage gain since November 2016
30,2018-02-06,Dow ends more than 1;100 points lower as selloff deepens,What the Trump White House says about this sharp stock-market reversal,As markets tumbled; investment firms’ websites suffered outages,Why stock-market investors might need to worry more about fiscal policy than the Fed,Banks ease standards on business loans in fourth quarter; but demand stays flat,The Federal Reserve inflated stock prices for years — now comes the scary unwinding,Dollar extends slight gains as global equity markets slump,NYSE selling hits panic-like levels; Arms Index suggests,Dow plunges 1;600 points at lows; marks worst intraday point drop in history; on computer-driven selling,Dow suffers biggest point drop ever as stocks close broadly lower
